chain,participant,gender,generation,material,correct_recall,total_recall
1,1,m,1,gossip,10,10
1,1,m,1,social,9,11
1,1,m,1,individual,6,8
1,1,m,1,physical,5,6
1,2,m,2,gossip,7,7
1,2,m,2,social,2,6
1,2,m,2,individual,5,6
1,2,m,2,physical,0,0
1,3,m,3,gossip,5,6
1,3,m,3,social,2,6
1,3,m,3,individual,4,5
1,3,m,3,physical,0,0
1,4,m,4,gossip,5,7
1,4,m,4,social,3,6
1,4,m,4,individual,3,6
1,4,m,4,physical,0,0
2,5,m,1,gossip,8,10
2,5,m,1,social,5,8
2,5,m,1,individual,4,7
2,5,m,1,physical,1,7
2,6,m,2,gossip,7,8
2,6,m,2,social,5,7
2,6,m,2,individual,1,2
2,6,m,2,physical,0,0
2,7,m,3,gossip,7,8
2,7,m,3,social,5,8
2,7,m,3,individual,1,2
2,7,m,3,physical,0,0
2,8,m,4,gossip,6,8
2,8,m,4,social,3,7
2,8,m,4,individual,1,2
2,8,m,4,physical,0,0
3,9,m,1,gossip,8,10
3,9,m,1,social,1,1
3,9,m,1,individual,4,5
3,9,m,1,physical,0,2
3,10,m,2,gossip,7,10
3,10,m,2,social,1,1
3,10,m,2,individual,4,4
3,10,m,2,physical,0,1
3,11,m,3,gossip,4,6
3,11,m,3,social,1,1
3,11,m,3,individual,2,2
3,11,m,3,physical,0,1
3,12,m,4,gossip,4,7
3,12,m,4,social,1,1
3,12,m,4,individual,1,2
3,12,m,4,physical,0,1
4,13,m,1,gossip,7,7
4,13,m,1,social,5,7
4,13,m,1,individual,1,2
4,13,m,1,physical,8,9
4,14,m,2,gossip,7,7
4,14,m,2,social,1,5
4,14,m,2,individual,1,1
4,14,m,2,physical,4,6
4,15,m,3,gossip,4,4
4,15,m,3,social,0,1
4,15,m,3,individual,0,1
4,15,m,3,physical,0,0
4,16,m,4,gossip,3,4
4,16,m,4,social,0,1
4,16,m,4,individual,0,1
4,16,m,4,physical,0,0
5,17,m,1,gossip,11,13
5,17,m,1,social,11,11
5,17,m,1,individual,9,10
5,17,m,1,physical,5,5
5,18,m,2,gossip,12,14
5,18,m,2,social,9,10
5,18,m,2,individual,6,7
5,18,m,2,physical,5,5
5,19,m,3,gossip,3,5
5,19,m,3,social,6,7
5,19,m,3,individual,1,1
5,19,m,3,physical,3,3
5,20,m,4,gossip,3,5
5,20,m,4,social,7,7
5,20,m,4,individual,1,1
5,20,m,4,physical,1,2
6,21,f,1,gossip,5,9
6,21,f,1,social,7,10
6,21,f,1,individual,3,8
6,21,f,1,physical,5,5
6,22,f,2,gossip,3,3
6,22,f,2,social,2,6
6,22,f,2,individual,1,4
6,22,f,2,physical,0,0
6,23,f,3,gossip,1,1
6,23,f,3,social,2,6
6,23,f,3,individual,1,4
6,23,f,3,physical,0,0
6,24,f,4,gossip,1,1
6,24,f,4,social,2,6
6,24,f,4,individual,1,4
6,24,f,4,physical,0,0
7,25,f,1,gossip,9,12
7,25,f,1,social,8,13
7,25,f,1,individual,4,5
7,25,f,1,physical,5,5
7,26,f,2,gossip,6,7
7,26,f,2,social,3,5
7,26,f,2,individual,0,0
7,26,f,2,physical,2,2
7,27,f,3,gossip,5,6
7,27,f,3,social,1,3
7,27,f,3,individual,0,0
7,27,f,3,physical,2,2
7,28,f,4,gossip,4,6
7,28,f,4,social,1,2
7,28,f,4,individual,0,0
7,28,f,4,physical,2,2
8,29,f,1,gossip,7,8
8,29,f,1,social,6,9
8,29,f,1,individual,3,3
8,29,f,1,physical,8,9
8,30,f,2,gossip,6,7
8,30,f,2,social,6,9
8,30,f,2,individual,2,2
8,30,f,2,physical,2,5
8,31,f,3,gossip,3,3
8,31,f,3,social,2,3
8,31,f,3,individual,0,0
8,31,f,3,physical,0,0
8,32,f,4,gossip,3,3
8,32,f,4,social,1,3
8,32,f,4,individual,0,0
8,32,f,4,physical,0,0
9,33,f,1,gossip,4,6
9,33,f,1,social,9,11
9,33,f,1,individual,6,6
9,33,f,1,physical,6,6
9,34,f,2,gossip,4,6
9,34,f,2,social,7,10
9,34,f,2,individual,4,4
9,34,f,2,physical,5,5
9,35,f,3,gossip,3,5
9,35,f,3,social,9,11
9,35,f,3,individual,0,0
9,35,f,3,physical,4,5
9,36,f,4,gossip,3,5
9,36,f,4,social,3,6
9,36,f,4,individual,0,0
9,36,f,4,physical,5,5
10,37,f,1,gossip,9,11
10,37,f,1,social,12,12
10,37,f,1,individual,9,11
10,37,f,1,physical,2,2
10,38,f,2,gossip,8,8
10,38,f,2,social,6,8
10,38,f,2,individual,0,0
10,38,f,2,physical,0,1
10,39,f,3,gossip,5,6
10,39,f,3,social,6,8
10,39,f,3,individual,0,0
10,39,f,3,physical,0,0
10,40,f,4,gossip,6,7
10,40,f,4,social,4,7
10,40,f,4,individual,0,0
10,40,f,4,physical,0,0
